date,sum_unit_sales
2013-01-01,2511.6190000000006
2013-01-02,5316.224000000001
2013-01-03,4442.913
2013-01-04,4844.353999999998
2013-01-05,5817.525999999998
2013-01-06,3201.6949999999997
2013-01-07,2783.978
2013-01-08,2884.284
2013-01-09,3565.6389999999997
2013-01-10,2673.9339999999984
2013-01-11,4794.148
2013-01-12,7036.223
2013-01-13,3174.2039999999997
2013-01-14,3156.056
2013-01-15,3005.576
2013-01-16,3854.7
2013-01-17,2616.9039999999995
2013-01-18,5695.545999999999
2013-01-19,7456.022
2013-01-20,3495.272
2013-01-21,3768.0269999999996
2013-01-22,3270.9780000000005
2013-01-23,4528.585
2013-01-24,3562.1410000000005
2013-01-25,5698.590999999999
2013-01-26,8207.192000000001
2013-01-27,3442.038
2013-01-28,3278.2160000000003
2013-01-29,3554.6330000000003
2013-01-30,4302.477
2013-01-31,4252.359
2013-02-01,8838.678000000004
2013-02-02,11254.187
2013-02-03,4976.0380000000005
2013-02-04,5595.269000000002
2013-02-05,5461.598999999998
2013-02-06,6872.320999999999
2013-02-07,8393.608999999999
2013-02-08,14792.442000000001
2013-02-09,20156.067999999996
2013-02-10,15694.586999999998
2013-02-11,11427.28
2013-02-12,5718.611999999998
2013-02-13,6962.627999999998
2013-02-14,5710.147999999999
2013-02-15,5510.283999999999
2013-02-16,4179.728000000001
2013-02-17,2351.022
2013-02-18,3744.7689999999993
2013-02-19,3655.2929999999988
2013-02-20,5058.981000000001
2013-02-21,4877.913999999998
2013-02-22,7908.112999999999
2013-02-23,9369.983999999999
2013-02-24,4382.753999999999
2013-02-25,4731.991
2013-02-26,3999.8729999999996
2013-02-27,5160.5599999999995
2013-02-28,4670.3949999999995
2013-03-01,9173.271999999999
2013-03-02,11127.400999999998
2013-03-03,4912.932000000001
2013-03-04,5195.928999999999
2013-03-05,4605.677
2013-03-06,5010.357000000001
2013-03-07,4855.476999999999
2013-03-08,9579.059999999998
2013-03-09,9747.019
2013-03-10,5209.913
2013-03-11,4855.208000000001
2013-03-12,3891.047
2013-03-13,5358.887999999999
2013-03-14,4921.765
2013-03-15,7932.628000000004
2013-03-16,10488.737
2013-03-17,4317.67
2013-03-18,5600.988000000002
2013-03-19,3790.851000000001
2013-03-20,5959.536000000002
2013-03-21,4534.943000000001
2013-03-22,9140.690999999997
2013-03-23,10285.297
2013-03-24,4732.697000000001
2013-03-25,5801.228000000002
2013-03-26,4979.403999999999
2013-03-27,7145.5289999999995
2013-03-28,12275.946000000002
2013-03-29,14962.0
2013-03-30,10498.222999999998
2013-03-31,4269.722000000001
2013-04-01,4506.7880000000005
2013-04-02,4323.853000000001
2013-04-03,5297.348999999999
2013-04-04,4633.3899999999985
2013-04-05,7872.668
2013-04-06,9596.541000000001
2013-04-07,4466.978000000001
2013-04-08,4061.2219999999998
2013-04-09,3958.273000000001
2013-04-10,4288.012
2013-04-11,4106.386999999999
2013-04-12,7078.440000000002
2013-04-13,7977.427999999999
2013-04-14,3592.7349999999988
2013-04-15,3571.0210000000006
2013-04-16,3380.2490000000003
2013-04-17,3979.7640000000006
2013-04-18,3318.3190000000004
2013-04-19,5760.6320000000005
2013-04-20,7496.614000000002
2013-04-21,3523.2000000000007
2013-04-22,3160.7820000000006
2013-04-23,2856.016
2013-04-24,3647.3739999999993
2013-04-25,2794.5509999999995
2013-04-26,5685.798999999999
2013-04-27,6426.166
2013-04-28,3257.783000000001
2013-04-29,3161.467
2013-04-30,2920.941999999999
2013-05-01,4716.944
2013-05-02,3323.522000000001
2013-05-03,3944.7540000000004
2013-05-04,5608.393000000003
2013-05-05,3385.116
2013-05-06,2963.995000000001
2013-05-07,2596.339
2013-05-08,3021.6740000000004
2013-05-09,3221.8430000000003
2013-05-10,3331.7470000000008
2013-05-11,3879.3200000000015
2013-05-12,2817.073999999999
2013-05-13,2317.74
2013-05-14,2266.8419999999996
2013-05-15,2980.7850000000003
2013-05-16,2365.9960000000005
2013-05-17,3534.431
2013-05-18,4677.0520000000015
2013-05-19,2611.1470000000004
2013-05-20,2491.5129999999995
2013-05-21,2370.492000000001
2013-05-22,3206.404000000001
2013-05-23,4145.959
2013-05-24,11260.543999999998
2013-05-25,6176.245
2013-05-26,3064.307
2013-05-27,2319.898
2013-05-28,2137.54
2013-05-29,2799.649
2013-05-30,2502.3929999999996
2013-05-31,2821.9020000000005
2013-06-01,4460.978000000001
2013-06-02,3319.189
2013-06-03,2692.4489999999996
2013-06-04,2722.2779999999993
2013-06-05,2988.731
2013-06-06,2233.7649999999994
2013-06-07,3677.25
2013-06-08,3716.419
2013-06-09,2581.742
2013-06-10,2464.0119999999997
2013-06-11,2268.2999999999997
2013-06-12,3162.147
2013-06-13,2479.4100000000003
2013-06-14,3153.0450000000005
2013-06-15,4200.737999999999
2013-06-16,2544.4179999999997
2013-06-17,2416.0570000000002
2013-06-18,2817.284
2013-06-19,2929.065000000001
2013-06-20,2128.121
2013-06-21,3870.3650000000002
2013-06-22,4352.028999999999
2013-06-23,3180.7760000000003
2013-06-24,2443.138
2013-06-25,2334.683
2013-06-26,2301.3259999999996
2013-06-27,2257.4510000000005
2013-06-28,3839.6069999999995
2013-06-29,4460.955
2013-06-30,3202.619
2013-07-01,2926.8770000000013
2013-07-02,2602.2529999999997
2013-07-03,3299.296
2013-07-04,2596.3860000000004
2013-07-05,3422.187
2013-07-06,4749.149
2013-07-07,2968.9769999999994
2013-07-08,2266.715
2013-07-09,2674.6459999999997
2013-07-10,2904.724999999999
2013-07-11,2497.652000000001
2013-07-12,3272.1380000000004
2013-07-13,4604.048000000002
2013-07-14,2946.015
2013-07-15,2940.908000000001
2013-07-16,2521.120000000001
2013-07-17,3416.9019999999996
2013-07-18,2800.827999999999
2013-07-19,3691.0679999999998
2013-07-20,4673.477000000001
2013-07-21,3491.5899999999997
2013-07-22,2785.432
2013-07-23,3057.499
2013-07-24,3320.078
2013-07-25,3305.0039999999995
2013-07-26,4044.504
2013-07-27,4646.434000000001
2013-07-28,3165.4880000000003
2013-07-29,3041.216
2013-07-30,3206.8399999999997
2013-07-31,3370.9570000000003
2013-08-01,3341.3340000000003
2013-08-02,4567.455
2013-08-03,5235.570000000001
2013-08-04,3914.904
2013-08-05,3541.3029999999994
2013-08-06,3422.2160000000003
2013-08-07,3798.5699999999997
2013-08-08,3670.138000000001
2013-08-09,4780.697999999999
2013-08-10,6571.4
2013-08-11,3877.5319999999992
2013-08-12,3756.966000000001
2013-08-13,3202.989000000001
2013-08-14,3821.8859999999995
2013-08-15,3292.989
2013-08-16,4417.412000000002
2013-08-17,5446.263000000001
2013-08-18,3831.866000000002
2013-08-19,3381.32
2013-08-20,3155.829
2013-08-21,3588.353999999999
2013-08-22,3324.1230000000005
2013-08-23,4301.646000000001
2013-08-24,4900.746000000001
2013-08-25,3648.1450000000004
2013-08-26,2910.119
2013-08-27,2831.1339999999996
2013-08-28,2959.8650000000002
2013-08-29,2932.2679999999996
2013-08-30,4644.845
2013-08-31,4972.7210000000005
2013-09-01,3361.8570000000004
2013-09-02,2912.8479999999995
2013-09-03,2803.1469999999995
2013-09-04,3065.638000000001
2013-09-05,2603.7669999999994
2013-09-06,3572.5119999999993
2013-09-07,4239.369999999999
2013-09-08,3104.827
2013-09-09,2493.387999999999
2013-09-10,2670.2300000000005
2013-09-11,2696.2840000000006
2013-09-12,2000.4390000000005
2013-09-13,3296.971
2013-09-14,4233.5650000000005
2013-09-15,2957.1770000000006
2013-09-16,2834.430999999999
2013-09-17,2540.3540000000007
2013-09-18,2831.1320000000005
2013-09-19,2504.1549999999997
2013-09-20,3880.8650000000007
2013-09-21,4063.3010000000004
2013-09-22,2641.354
2013-09-23,3079.9639999999995
2013-09-24,2188.229
2013-09-25,2844.601
2013-09-26,2167.411
2013-09-27,3062.181
2013-09-28,4849.620999999999
2013-09-29,3271.3109999999992
2013-09-30,3124.478
2013-10-01,3711.7740000000003
2013-10-02,3761.027000000001
2013-10-03,3212.701
2013-10-04,5110.684
2013-10-05,6113.841000000002
2013-10-06,3419.5819999999994
2013-10-07,3811.215
2013-10-08,3818.5680000000007
2013-10-09,4527.581
2013-10-10,7505.998
2013-10-11,13354.284000000003
2013-10-12,7599.578000000001
2013-10-13,3279.4649999999997
2013-10-14,3066.9060000000004
2013-10-15,2779.0029999999983
2013-10-16,3675.980999999999
2013-10-17,2543.4320000000002
2013-10-18,3473.987999999998
2013-10-19,4106.326000000001
2013-10-20,3133.5190000000002
2013-10-21,2249.302
2013-10-22,2535.5580000000004
2013-10-23,2939.9770000000008
2013-10-24,2175.602
2013-10-25,3534.108999999999
2013-10-26,4335.011
2013-10-27,3207.0859999999993
2013-10-28,2424.9570000000003
2013-10-29,2534.2749999999996
2013-10-30,3172.0120000000006
2013-10-31,2828.888000000001
2013-11-01,4839.816
2013-11-02,5862.62
2013-11-03,3287.657
2013-11-04,2544.179
2013-11-05,2573.211999999999
2013-11-06,3063.4999999999995
2013-11-07,2473.625
2013-11-08,4155.788999999997
2013-11-09,4397.922000000001
2013-11-10,2839.2779999999993
2013-11-11,2772.1399999999994
2013-11-12,2369.1969999999997
2013-11-13,3238.406000000001
2013-11-14,2499.5769999999984
2013-11-15,3746.0919999999996
2013-11-16,4453.530000000001
2013-11-17,3192.8390000000004
